path,sha256,unit,run_id,run_manifest,recorded_status,recorded_verdict,findings,findings_status,findings_verdict,ownership_basis
results/.gitkeep,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,,,,,,,,unassigned
results/annual/U11R02-v01/N10_seed42_centers.csv,15e0e6fa117e16cf187defb809455fba0852e069b60ecec7f3ff1d9f20e9a3e0,U11R02,U11R02-v01,results/annual/U11R02-v01/run_manifest.json,complete,inconclusive,instructions/studies/U11R02-annual-coherent/findings.md,complete,inconclusive,nearest_run_manifest
results/annual/U11R02-v01/N10_seed42_cluster0_cbc.log,d6454a1cad40dec1236fb8e320a995bf95e1d919ec9ea099581c5ff584fcacc2,U11R02,U11R02-v01,results/annual/U11R02-v01/run_manifest.json,complete,inconclusive,instructions/studies/U11R02-annual-coherent/findings.md,complete,inconclusive,nearest_run_manifest
results/annual/U11R02-v01/N10_seed42_cluster0_hourly.csv,8875d01778639fe314c109480161556329fe41578ff05a693270ed439ca60df6,U11R02,U11R02-v01,results/annual/U11R02-v01/run_manifest.json,complete,inconclusive,instructions/studies/U11R02-annual-coherent/findings.md,complete,inconclusive,nearest_run_manifest
results/annual/U11R02-v01/N10_seed42_cluster1_cbc.log,36705b09401cc35e6f13858404cc56abcb3d1b6449244cbaa52a5b5c0ff64038,U11R02,U11R02-v01,results/annual/U11R02-v01/run_manifest.json,complete,inconclusive,instructions/studies/U11R02-annual-coherent/findings.md,complete,inconclusive,nearest_run_manifest
results/annual/U11R02-v01/N10_seed42_cluster1_hourly.csv,559e860acd0fda1d6b8b1504c58636bd1158073ce1d744c5ace384cff6c17725,U11R02,U11R02-v01,results/annual/U11R02-v01/run_manifest.json,complete,inconclusive,instructions/studies/U11R02-annual-coherent/findings.md,complete,inconclusive,nearest_run_manifest
results/annual/U11R02-v01/N10_seed42_cluster2_cbc.log,7b61d722a75fb724c4ed95786c40ca6033080410445bb2a0ca023bf97b111185,U11R02,U11R02-v01,results/annual/U11R02-v01/run_manifest.json,complete,inconclusive,instructions/studies/U11R02-annual-coherent/findings.md,complete,inconclusive,nearest_run_manifest
results/annual/U11R02-v01/N10_seed42_cluster2_hourly.csv,2284f1dae6a051201f328b505c5e7e37e6068e8c8ded354546b3688393cebcfb,U11R02,U11R02-v01,results/annual/U11R02-v01/run_manifest.json,complete,inconclusive,instructions/studies/U11R02-annual-coherent/findings.md,complete,inconclusive,nearest_run_manifest
results/annual/U11R02-v01/N10_seed42_cluster3_cbc.log,1f3cce3930b96e432a7e364cce09e0a70a25e2bc2a8d2e591c93143f8cdb12c6,U11R02,U11R02-v01,results/annual/U11R02-v01/run_manifest.json,complete,inconclusive,instructions/studies/U11R02-annual-coherent/findings.md,complete,inconclusive,nearest_run_manifest
results/annual/U11R02-v01/N10_seed42_cluster3_hourly.csv,70bad797aad405ba158ad4937f509be67357532e9aeadbd8a9f94053c41c597b,U11R02,U11R02-v01,results/annual/U11R02-v01/run_manifest.json,complete,inconclusive,instructions/studies/U11R02-annual-coherent/findings.md,complete,inconclusive,nearest_run_manifest
results/annual/U11R02-v01/N10_seed42_cluster4_cbc.log,58baee224936490ceb9eaeba19f3c2c24f34c06dec60ccb60defda9a9dd9c698,U11R02,U11R02-v01,results/annual/U11R02-v01/run_manifest.json,complete,inconclusive,instructions/studies/U11R02-annual-coherent/findings.md,complete,inconclusive,nearest_run_manifest
results/annual/U11R02-v01/N10_seed42_cluster4_hourly.csv,0894579342de9149e78ed7a7d9ce49538b654fd3da83207536bcb96ca0f5bfe6,U11R02,U11R02-v01,results/annual/U11R02-v01/run_manifest.json,complete,inconclusive,instructions/studies/U11R02-annual-coherent/findings.md,complete,inconclusive,nearest_run_manifest
results/annual/U11R02-v01/N10_seed42_cluster5_cbc.log,33b01b50037f3e5b573eaad8f2d86f4899e7d8dcfd2bf3d59476ac7c8ed37e5b,U11R02,U11R02-v01,results/annual/U11R02-v01/run_manifest.json,complete,inconclusive,instructions/studies/U11R02-annual-coherent/findings.md,complete,inconclusive,nearest_run_manifest
results/annual/U11R02-v01/N10_seed42_cluster5_hourly.csv,714fc0c418f5cea4620d3307cc243a47bedd7fc11de0ceb5e735c96cef27ed9f,U11R02,U11R02-v01,results/annual/U11R02-v01/run_manifest.json,complete,inconclusive,instructions/studies/U11R02-annual-coherent/findings.md,complete,inconclusive,nearest_run_manifest
results/annual/U11R02-v01/N10_seed42_cluster6_cbc.log,38ed2534035a9dedff7c47a82467f8badb0e8653a3c768fd4c55f5b82a68d449,U11R02,U11R02-v01,results/annual/U11R02-v01/run_manifest.json,complete,inconclusive,instructions/studies/U11R02-annual-coherent/findings.md,complete,inconclusive,nearest_run_manifest
results/annual/U11R02-v01/N10_seed42_cluster6_hourly.csv,2a35b46a09a8e13ee2285e7a979269393b028dbbeee8b068551ff07af7d7e903,U11R02,U11R02-v01,results/annual/U11R02-v01/run_manifest.json,complete,inconclusive,instructions/studies/U11R02-annual-coherent/findings.md,complete,inconclusive,nearest_run_manifest
results/annual/U11R02-v01/N10_seed42_cluster7_cbc.log,02c24b5e5e2cd208b041d27e7e033e3e2ff9f42ec5bb51d8b66af34aa0f26481,U11R02,U11R02-v01,results/annual/U11R02-v01/run_manifest.json,complete,inconclusive,instructions/studies/U11R02-annual-coherent/findings.md,complete,inconclusive,nearest_run_manifest
results/annual/U11R02-v01/N10_seed42_cluster7_hourly.csv,f00fce2a607979ae0d86973ed1e5158ceaf5de51956392d06a0ffae1a294310d,U11R02,U11R02-v01,results/annual/U11R02-v01/run_manifest.json,complete,inconclusive,instructions/studies/U11R02-annual-coherent/findings.md,complete,inconclusive,nearest_run_manifest
results/annual/U11R02-v01/N10_seed42_cluster8_cbc.log,71a4b68901aeb7d27584e1b739f7785a9dcc09261f8e26723a31d02691156e3f,U11R02,U11R02-v01,results/annual/U11R02-v01/run_manifest.json,complete,inconclusive,instructions/studies/U11R02-annual-coherent/findings.md,complete,inconclusive,nearest_run_manifest
